Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
106. Wed8/5 vs ARI L (4-11),Lobaton,Zimmerman,Rendon,Escobar,Espinosa,Werth,Taylor,Harper,Gonzalez,
107. Thu8/6 vs ARI W (8-3),Ramos,Robinson,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Ross,
108. Fri8/7 vs COL L (4-5)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Zimmermann,
109. Sat8/8 vs COL W (6-1),Ramos,Zimmerman,Espinosa,Rendon,Desmond,Robinson,Taylor,Harper,Strasburg,
110. Sun8/9 vs COL L (4-6)#,Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Scherzer,
111. Mon8/10 at LAD W (8-3)#,Lobaton,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Gonzalez,
112. Tue8/11 at LAD L (0-5),Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Robinson,Ross,
113. Wed8/12 at LAD L (0-3)#,Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Zimmermann,
114. Thu8/13 at SFG L (1-3),Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Strasburg,
115. Fri8/14 at SFG L (5-8),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Robinson,Taylor,Harper,Scherzer,
116. Sat8/15 at SFG L (6-12),Lobaton,Robinson,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Gonzalez,
117. Sun8/16 at SFG L (0-5)#,Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Ross,
