Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
149. Sun9/18 at ATL L (2-6),Ramos,Robinson,Turner,Difo,Espinosa,Werth,Revere,Harper,Ross,
150. Mon9/19 at MIA L (3-4)#,Ramos,Zimmerman,Difo,Rendon,Espinosa,Werth,Turner,Heisey,Cole,
151. Tue9/20 at MIA L (0-1),Ramos,Robinson,Drew,Rendon,Espinosa,Goodwin,Turner,Harper,Roark,
152. Wed9/21 at MIA W (8-3),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Turner,Harper,Scherzer,
153. Fri9/23 at PIT L (5-6),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Turner,Harper,Gonzalez,
154. Sat9/24 at PIT W (6-1),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Turner,Harper,Ross,
155. Sun9/25 at PIT W (10-7),Lobaton,Robinson,Difo,Rendon,Espinosa,Goodwin,Revere,Harper,Cole,
156. Mon9/26 vs ARI L (4-14),Ramos,Zimmerman,Drew,Rendon,Espinosa,Werth,Turner,Goodwin,Roark,
157. Tue9/27 vs ARI W (4-2),Lobaton,Zimmerman,Drew,Rendon,Espinosa,Werth,Turner,Goodwin,Scherzer,
158. Wed9/28 vs ARI L (0-3),Lobaton,Robinson,Turner,Rendon,Espinosa,Werth,Revere,Goodwin,Gonzalez,
159. Thu9/29 vs ARI W (5-3)#,Severino,Zimmerman,Difo,Rendon,Espinosa,Werth,Turner,Taylor,Ross,
160. Fri9/30 vs MIA L (4-7),Lobaton,Robinson,Drew,Rendon,Espinosa,Werth,Turner,Harper,Cole,
161. Sat10/1 vs MIA W (2-1)#,Severino,Zimmerman,Difo,Rendon,Espinosa,Taylor,Turner,Harper,Roark,
162. Sun10/2 vs MIA W (10-7),Lobaton,Zimmerman,Difo,Drew,Espinosa,Revere,Turner,Harper,Scherzer,
162 Games,3 Players,3 Players,4 Players,4 Players,3 Players,7 Players,6 Players,6 Players,10 Players,5 Players
